Town,Date,Collected_at,Temperature,Weather,Real_feel,Humidity
grobnik,10.05.2020.,19:30,24.0,malo oblačno,24.0,35.0
hreljin,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
fuzine,10.05.2020.,19:30,20.0,malo oblačno,24.0,43.0
drazice,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
delnice,10.05.2020.,19:30,20.0,malo oblačno,24.0,43.0
crikvenica,10.05.2020.,19:30,19.0,malo oblačno,19.0,69.0
bribir,10.05.2020.,19:30,20.0,pretežno oblačno,23.0,32.0
brgud,10.05.2020.,19:30,20.0,pretežno oblačno,23.0,32.0
bakar,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
bakarac,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
baska,10.05.2020.,19:30,21.0,umjereno oblačno,24.0,50.0
rubesi,10.05.2020.,19:30,14.0,malo oblačno,14.0,55.0
rijeka,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
opatija,10.05.2020.,19:30,24.0,umjereno oblačno,25.0,36.0
jadranovo,10.05.2020.,19:30,19.0,malo oblačno,19.0,69.0
vrata,10.05.2020.,19:30,20.0,malo oblačno,24.0,43.0
selce,10.05.2020.,19:30,19.0,malo oblačno,19.0,69.0
veprinac,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
omisalj,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
matulji,10.05.2020.,21:30,11.0,malo oblačno,11.0,79.0
medveja,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
lovran,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
lipa,10.05.2020.,21:30,20.0,malo oblačno,24.0,40.0
krasica,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
klenovica,10.05.2020.,21:30,18.0,umjereno oblačno,18.0,68.0
kastav,10.05.2020.,21:30,11.0,malo oblačno,11.0,79.0
klana,10.05.2020.,21:30,11.0,malo oblačno,11.0,79.0
grobnik,10.05.2020.,21:30,20.0,malo oblačno,24.0,40.0
hreljin,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
fuzine,10.05.2020.,21:30,17.0,malo oblačno,17.0,55.0
drazice,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
delnice,10.05.2020.,21:30,17.0,malo oblačno,17.0,55.0
crikvenica,10.05.2020.,21:30,18.0,malo oblačno,18.0,67.0
bribir,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,45.0
brgud,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,45.0
bakar,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
bakarac,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
baska,10.05.2020.,21:30,18.0,umjereno oblačno,18.0,68.0
rubesi,10.05.2020.,21:30,11.0,malo oblačno,11.0,79.0
rijeka,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
opatija,10.05.2020.,21:30,22.0,vedro,24.0,41.0
jadranovo,10.05.2020.,21:30,18.0,malo oblačno,18.0,67.0
vrata,10.05.2020.,21:30,17.0,malo oblačno,17.0,55.0
selce,10.05.2020.,21:30,18.0,malo oblačno,18.0,67.0
veprinac,10.05.2020.,21:30,16.0,umjereno oblačno,16.0,87.0
omisalj,10.05.2020.,23:30,16.0,malo oblačno,16.0,71.0
matulji,10.05.2020.,23:30,11.0,malo oblačno,11.0,69.0
medveja,10.05.2020.,23:30,16.0,malo oblačno,16.0,71.0
lovran,10.05.2020.,23:30,16.0,malo oblačno,16.0,71.0
lipa,10.05.2020.,23:30,18.0,malo oblačno,18.0,51.0
krasica,10.05.2020.,23:30,16.0,malo oblačno,16.0,71.0
